"","reg","site","connectance","web asymmetry","links per species","number of compartments","compartment diversity","cluster coefficient","nestedness","NODF","weighted nestedness","weighted NODF","interaction strength asymmetry","specialisation asymmetry","linkage density","weighted connectance","Fisher alpha","Shannon diversity","interaction evenness","Alatalo interaction evenness","H2","number.of.species.HL","number.of.species.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","cluster.coefficient.HL","cluster.coefficient.LL","weighted.cluster.coefficient.HL","weighted.cluster.coefficient.LL","niche.overlap.HL","niche.overlap.LL","togetherness.HL","togetherness.LL","C.score.HL","C.score.LL","V.ratio.HL","V.ratio.LL","discrepancy.HL","discrepancy.LL","extinction.slope.HL","extinction.slope.LL","robustness.HL","robustness.LL","functional.complementarity.HL","functional.complementarity.LL","partner.diversity.HL","partner.diversity.LL","generality.HL","vulnerability.LL","consumer_degree","consumer_normalised.degree","resource_degree","resource_normalised.degree"
"414","neo","Cantao",0.291666666666667,-0.142857142857143,1,1,NA,0.1875,23.4982320854026,34.8837209302326,0.571099797754376,0,0,0.048192839394652,2.85714285714286,0.204081632653061,4294967303,2.63905732961526,0.681715395862726,1,0,6,8,0.6,0.607142857142857,0.291666666666667,0.291666666666667,0,0,0.328677248677249,0.35952380952381,0.154166666666667,0.263392857142857,0.526666666666667,0.473214285714286,1.76923076923077,0.9375,5,4,1.62179253914733,2.08370614511579,0.624828886104244,0.665105885688303,8.37170342228098,8.88804151402988,0.614813242352323,0.433216987849966,2.33333333333333,1.75,1.5,0.1875,1.5,0.25
"415","neo","Caraca",0.314814814814815,-0.2,1.13333333333333,1,NA,0.222222222222222,35.2739926222198,28.4313725490196,0.243206029103282,0,0,0.23020954144804,2.88235294117647,0.192156862745098,4294967304.5,2.83321334405622,0.710259382084136,1,0,6,9,0.8,0.555555555555556,0.314814814814815,0.314814814814815,0,0,0.315343915343915,0.303439153439153,0.203333333333333,0.225694444444444,0.588333333333333,0.5625,0.868852459016393,0.833333333333333,8,6,1.9348914049493,2.8140910115917,0.656125075458368,0.736252976099978,9.07612839097314,9.86210714969387,0.961386832632295,0.507149799051982,2.83333333333333,1.88888888888889,2,0.222222222222222,2,0.333333333333333
"416","neo","Carajas Forest",0.246753246753247,-0.222222222222222,1.05555555555556,2,1.41741118113173,0.0909090909090909,25.0315124476874,27.9605263157895,0.414405621706032,0,0,0.0882080144659929,3.31578947368421,0.184210526315789,4294967305.5,2.94443897916644,0.677847806983473,1,0,7,11,0.523809523809524,0.6,0.246753246753247,0.246753246753247,0,0,0.243290043290043,0.346666666666667,0.108843537414966,0.23030303030303,0.642857142857143,0.513636363636364,2.54347826086957,0.725806451612903,8,6,1.83572290957599,1.7248004214908,0.644314375138974,0.633121990423315,10.6547684088834,10.5722637850343,0.674071267327871,0.441093660356329,2.71428571428571,1.72727272727273,1,0.0909090909090909,2,0.285714285714286
"417","neo","Cayambe Coca",0.314285714285714,-0.166666666666667,0.916666666666667,2,1.5691925832142,0.142857142857143,26.8475727759184,32.258064516129,0.316179787730809,0,0,0.0509554246321887,2.54545454545455,0.212121212121212,4294967301.5,2.39789527279837,0.674447404677965,1,0,5,7,0.5,0.571428571428571,0.314285714285714,0.314285714285714,0,0,0.23,0.347619047619048,0.116666666666667,0.253968253968254,0.644444444444444,0.507936507936508,1.58823529411765,0.619047619047619,5,3,1.53030763699679,1.96105583659695,0.589731478241586,0.654960770594927,7.66837205950196,7.37456030080824,0.554517744447956,0.354986664255429,2.2,1.57142857142857,1,0.142857142857143,1,0.2
"418","neo","Celaque",0.5,-0.428571428571429,0.714285714285714,2,1.97962633005252,0.5,60.3793576601208,0,NA,0,NA,NA,1.8,0.257142857142857,2147483650.5,1.6094379124341,0.698970004336019,1,NA,2,5,0,0.4,0.5,0.5,NA,NA,0,0.4,0,0.4,1,0.6,0.2,0,2,2,1.00892413123089,3.01821363209794,0.508,0.761740746038088,4.47213595499958,2.82842712474619,0.895879734614027,0,2.5,1,2.5,0.5,1,0.5
"419","neo","Cerro Cora",0.3,-0.25,1.125,1,NA,0.25,36.2361621809146,25.5555555555556,0.364414588432509,0,0,0.27251073258529,2.88888888888889,0.180555555555556,4294967305,2.89037175789616,0.705942480895523,1,0,6,10,0.8,0.488888888888889,0.3,0.3,0,0,0.312962962962963,0.27978835978836,0.2,0.205555555555556,0.597222222222222,0.605555555555556,0.727272727272727,0.813559322033898,9,7,1.76655374996178,3.53102835108607,0.638422448264495,0.777513008995359,9.38761347228169,9.90128966608148,1.02896435065032,0.456434819146784,3,1.8,2.5,0.25,1.5,0.25
"420","neo","Chandless",0.233766233766234,-0.222222222222222,1,2,1.5691925832142,0.181818181818182,27.2869281395977,23.9035087719298,0.416234363189985,0,0,0.10664591824033,2.94444444444444,0.16358024691358,4294967305,2.89037175789616,0.665400835717619,1,0,7,11,0.476190476190476,0.454545454545455,0.233766233766234,0.233766233766234,0,0,0.24021164021164,0.273939393939394,0.110544217687075,0.174242424242424,0.645502645502645,0.613636363636364,1.72727272727273,0.723076923076923,9,7,1.56002010280261,2.18505944055065,0.609225474721291,0.67774031380866,10.9702381327285,10.5310262134102,0.709973328510857,0.378080280305425,2.57142857142857,1.63636363636364,2,0.181818181818182,1,0.142857142857143
"421","neo","Chekubul",0.392857142857143,-0.272727272727273,1,2,1.92607022425223,0.357142857142857,35.2604250102355,22.2222222222222,0.316272709513577,0,0,0.367348951825755,2.54545454545454,0.231404958677686,4294967301.5,2.39789527279837,0.719612276340233,1,0,4,7,1,0.523809523809524,0.392857142857143,0.392857142857143,0,0,0.388888888888889,0.333333333333333,0.305555555555556,0.301587301587302,0.5,0.571428571428571,0.523809523809524,0.909090909090909,5,3,1.44976419732092,3.16061718166776,0.592380952380952,0.757519415281647,6.15947173974921,4.94558441227157,0.967800252726973,0.313889225333746,2.75,1.57142857142857,2.5,0.357142857142857,1,0.25
"422","neo","Chenkan",0.375,-0.333333333333333,1,2,1.88988157484231,0.3125,34.2712391445631,23.5294117647059,0.376327928713959,0,0,0.285496803851998,2.75,0.229166666666667,1073741872.66667,2.484906649788,0.716992500144231,1,0,4,8,1,0.535714285714286,0.375,0.375,0,0,0.357142857142857,0.357142857142857,0.266666666666667,0.321428571428571,0.5,0.535714285714286,1,0.888888888888889,5,4,1.28030773861323,3.38406562172401,0.541666666666667,0.767087971048895,6.59909286073272,4.82842712474619,1.02358614055553,0.274653072167027,3,1.5,2.5,0.3125,1,0.25
"423","neo","Chiquibul",0.392857142857143,-0.272727272727273,1,2,1.92607022425223,0.357142857142857,35.2604250102355,22.2222222222222,0.292558337928237,0,0,0.367348951825755,2.54545454545454,0.231404958677686,4294967301.5,2.39789527279837,0.719612276340233,1,0,4,7,1,0.523809523809524,0.392857142857143,0.392857142857143,0,0,0.388888888888889,0.333333333333333,0.305555555555556,0.301587301587302,0.5,0.571428571428571,0.523809523809524,0.909090909090909,5,4,1.42500066256065,3.17718479335213,0.595238095238095,0.763115316012192,6.15947173974921,4.94558441227157,0.967800252726973,0.313889225333746,2.75,1.57142857142857,2.5,0.357142857142857,1,0.25
"424","neo","Cocha Cashu",0.228571428571429,-0.176470588235294,0.941176470588235,2,1.59360581523684,0.2,27.2601621121988,22.7272727272727,0.404900341884317,0,0,0.0974653382565757,2.6875,0.158088235294118,4294967304,2.77258872223978,0.652604878734043,1,0,7,10,0.428571428571429,0.4,0.228571428571429,0.228571428571429,0,0,0.234769463340892,0.245925925925926,0.109126984126984,0.151851851851852,0.652380952380952,0.65,1.38461538461538,0.777777777777778,8,6,1.38705421540977,1.70795206867424,0.581465740145713,0.633372051496847,10.3722341263714,10.4868984265438,0.626003804953412,0.346573590279973,2.28571428571429,1.6,2,0.2,1,0.142857142857143
